id;referencia;nome_produto;marca;categoria;especificacao;caracteristicas;preco_eur;preco_formatado;pagina_catalogo
83;20225;TOPIGEL ANESTESIA TÓPICA;Laboratorios Clarben;AGUJAS Y ANESTESIAS;;10 ml;;Sob consulta;30
84;2053;ISOGAINE S.V.C. (AZUL);Laboratorios Clarben;AGUJAS Y ANESTESIAS;;50 carpules de 1,8 ml.;;Sob consulta;30
85;5801;XILONIBSA 2% 1:80.000 (VERDE);Inibsa;AGUJAS Y ANESTESIAS;;100 cartuchos de 1,8 ml.;;Sob consulta;31
86;5810;SCANDINIBSA 3% S.V.C. (AZUL);Inibsa;AGUJAS Y ANESTESIAS;;100 cartuchos de 1,8 ml.;;Sob consulta;31
87;5811;SCANDINIBSA 2% FORTE 1:100.000 (AZUL OSCURO);Inibsa;AGUJAS Y ANESTESIAS;;100 cartuchos de 1,8 ml.;;Sob consulta;31
88;5815;ARTINIBSA;Inibsa;AGUJAS Y ANESTESIAS;Artinibsa 4% 1:100.000 (roja);100 cartuchos de 1,8 ml.;;Sob consulta;31
89;5816;ARTINIBSA;Inibsa;AGUJAS Y ANESTESIAS;Artinibsa 4% 1:200.000 (amarilla);100 cartuchos de 1,8 ml.;;Sob consulta;31
90;3569;ORAQIX GEL;Dentsply;AGUJAS Y ANESTESIAS;;20 cartuchos x 1,7 gr. + puntas aplicadoras. alisado radicular.;;Sob consulta;32
91;5814;ANESTESIA XILONIBSA SPRAY;Inibsa;AGUJAS Y ANESTESIAS;;50 ml;65.58;65,58 €;32
92;82014;INIBSACAIN PLUS - BUPIVACAINA 100X1,8ML;INIBSA;AGUJAS Y ANESTESIAS;;100 carpules de 1,80 ml;65.58;65,58 €;32
93;2213;ULTRACAIN;Normon;AGUJAS Y ANESTESIAS;Ultracain 1:200.000 (Azul);100 carpules de 1,7 ml.;;Sob consulta;33
94;2214;ULTRACAIN;Normon;AGUJAS Y ANESTESIAS;Ultracain 1:100.000 (Verde);100 carpules de 1,7 ml.;;Sob consulta;33
95;4311;LIDOCAINA 2% 1:80.000 (ROJA);Normon;AGUJAS Y ANESTESIAS;;100 carpules de 1,8 ml.;;Sob consulta;33
96;43365;NORMOBUCAL SPRAY;Normon;AGUJAS Y ANESTESIAS;;Spray 60 ml.;;Sob consulta;33
97;82012;MEPIVACAINA NORMOGEN 3% S.V.C.;Normon;AGUJAS Y ANESTESIAS;;100 cartuchos x 1,7 ml;;Sob consulta;33
98;36587;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;;El composite Nano Híbrido Proclinic Expert combina nanopartículas y tecnología híbrida. Otras marcas 1% 1,8% 2,5% Gracias a su translucidez permite conseguir restauraciones muy naturales sin necesidad de estratificar.;284.27;284,27 €;36
99;36588;NANO HÍBRIDO PROCLINIC EXPERT;Proclinic Expert;RESTAURACIÓN;Color A1 1;Jeringa 4 gr.;51.28;51,28 €;36
